is_manipulated,manipulation_angle,online_feedback,endpoint_feedback,was_restarted,is_judged,label,too_slow,manipulation_type,rt,target_angle,reach_angle,diff_angle,target_dist,trial,id,exp_version,judgement_rt,judgement_decision_time,judgement_loc,judgement_width,judgement_score
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.391913891,-135,-173.3104965,-38.3104965,70,106,msl000394,v2,0.267273188,1.971235037,-81.0314209,35.32053223,3285
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.448014975,180,143.9377524,-36.06224756,70,107,msl000394,v2,0.56965661,2.049659729,-110.1842682,31.65066528,3354
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.393273115,-90,-140.7598377,-50.75983767,70,108,msl000394,v2,0.482986212,2.12298131,-19.18339539,24.97817993,3430
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.448427916,0,-22.77897151,-22.77897151,70,109,msl000394,v2,0.048992157,1.881023169,61.97556152,25.97905273,3505
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.411829948,-45,-70.96798543,-25.96798543,70,110,msl000394,v2,0.373511314,2.269502163,18.14324646,10.63233643,3595
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.378093004,135,102.0560186,-32.94398137,70,111,msl000394,v2,0.243931055,2.419898987,-164.8593719,3.959851074,3595
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.22018981,45,1.25833369,-43.74166631,70,112,msl000394,v2,0.089506626,1.865529537,106.8087494,18.63931885,3595
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.408329964,180,134.5237794,-45.47622057,70,113,msl000394,v2,0.762813568,2.43481946,-119.5257477,24.3109314,3595
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.362211943,0,-33.09645961,-33.09645961,70,114,msl000394,v2,0.046725035,1.894732237,59.80700378,16.63757324,3679
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.278684855,90,44.3874492,-45.6125508,70,115,msl000394,v2,0.211414099,2.003415108,-209.1921234,15.30307617,3679
1,30,1,1,0,1,PERTURBATION,0,ROTATION,0.380082846,45,4.053426427,-40.94657357,70,116,msl000394,v2,0.152543783,2.072575808,104.8070038,17.30482178,3679
1,30,1,1,0,1,PERTURBATION,1,ROTATION,0.29956007,-135,-170.8547387,-35.85473875,70,117,msl000394,v2,0.389696598,2.037689686,-78.52923889,26.64630127,3679
